,Player,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Based,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,drTkl,Att,Tkl%,Lost,Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Position,Total Cmp%,TotDist,PrgDist,Short Cmp%,Medium Cmp%,Long Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,xG_On-Off,player_code,country_of_birth,sub_position,foot,height_in_cm,market_value_in_eur,fee,transfer_period,Target
15,Milan Đurić,Hellas Verona,32,90,15.2,1,16,5,31.3,1.05,0.33,0.06,0.20,10.7,0,0,0,1.4,1.4,0.09,-0.4,-0.4,Serie A,2,1,1,0,1,1,3,33.3,2,7,4,3,1,3,24,0,Forward,51.2,3119,740,55.4,45.4,38.5,1,1.3,0.9,21,27,5,0,29,0.86,15,23,-8,-0.53,+0.35,13.1,19.9,-6.9,-0.45,-0.14,milan-duric90,Jugoslawien (SFR),Centre-Forward,right,199.0,1000000,0.0,Summer,-21.735999999999997
16,Francesco Acerbi,Inter,34,88,26.9,0,18,2,11.1,0.67,0.07,0.00,0.00,15.9,0,0,0,1.0,1.0,0.06,-1.0,-1.0,Serie A,33,19,22,7,4,20,27,74.1,7,25,18,7,41,74,85,2,Defender,88.5,27034,8090,91.8,91.9,73.8,2,1.1,1.2,16,86,14,3,100,1.94,53,30,+23,0.85,+0.31,49.5,26.6,+22.9,+0.85,+0.07,francesco-acerbi88,Italy,Centre-Back,left,192.0,4000000,0.0,Summer,17.216
17,Kristjan Asllani,Inter,20,02,6.6,0,11,0,0.0,1.67,0.00,0.00,,27.0,2,0,0,0.5,0.5,0.05,-0.5,-0.5,Serie A,11,5,1,8,2,7,10,70.0,3,3,1,2,6,17,4,0,Midfielder,88.0,7554,2029,97.9,91.9,65.6,0,0.9,1.0,11,27,6,1,29,2.05,9,10,-1,-0.15,-1.11,10.7,7.8,+2.9,+0.44,-0.47,kristjan-asllani02,Albania,Defensive Midfield,right,175.0,12000000,4000000.0,Summer,-4.95
18,Raoul Bellanova,Inter,22,00,5.5,0,4,1,25.0,0.73,0.18,0.00,0.00,8.1,0,0,0,0.6,0.6,0.16,-0.6,-0.6,Serie A,14,6,11,2,1,9,14,64.3,5,6,1,5,4,18,14,0,Defender,77.8,3914,953,88.9,74.5,59.0,0,0.4,0.4,3,9,6,5,12,2.00,10,8,+2,0.36,-0.47,7.1,6.9,+0.3,+0.05,-0.92,raoul-bellanova00,Italy,Right-Back,right,188.0,5000000,3000000.0,Summer,0.825
19,Valentin Carboni,Inter,17,05,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Serie A,1,1,0,1,0,1,3,33.3,2,1,0,1,0,1,0,0,Midfielder,70.6,192,12,71.4,66.7,100.0,0,0.0,0.0,1,0,0,0,1,0.80,1,1,0,0.0,-0.77,1.2,1.2,0.0,-0.05,-0.89,valentin-carboni05,Argentina,Attacking Midfield,left,185.0,4000000,0.0,Summer,-0.18000000000000002
20,Joaquín Correa,Inter,27,94,10.6,3,22,8,36.4,2.08,0.76,0.14,0.38,13.6,0,0,0,3.4,3.4,0.16,-0.4,-0.4,Serie A,12,7,3,6,3,4,15,26.7,11,4,1,3,3,15,0,0,Forward,79.2,3438,691,83.8,85.4,92.9,1,1.3,1.0,15,23,9,0,29,1.77,13,12,+1,0.09,-0.93,16.5,11.8,+4.7,+0.45,-0.53,joaquin-correa94,Argentina,Second Striker,right,188.0,14000000,23600000.0,Summer,-3.1800000000000015
21,Romelu Lukaku,Inter,29,93,18.4,10,49,20,40.8,2.66,1.08,0.16,0.40,15.0,0,2,2,9.0,7.4,0.15,+1.0,+0.6,Serie A,3,1,1,0,2,2,5,40.0,3,3,1,2,0,3,16,0,Forward,68.6,3427,748,77.7,66.3,55.6,6,4.1,2.9,32,17,15,2,41,1.80,27,16,+11,0.6,-0.32,33.9,18.3,+15.6,+0.84,+0.03,romelu-lukaku93,Belgium,Centre-Forward,left,191.0,40000000,8000000.0,Summer,3.863999999999997
22,Henrikh Mkhitaryan,Inter,33,89,22.1,3,35,6,17.1,1.59,0.27,0.09,0.50,19.9,0,0,0,2.8,2.8,0.08,+0.2,+0.2,Serie A,41,26,13,22,6,14,41,34.1,27,27,4,23,21,62,18,0,Midfielder,87.3,15228,3797,91.3,88.5,82.3,2,2.1,2.4,19,93,32,8,133,1.84,44,18,+26,1.18,+0.99,41.9,18.0,+23.9,+1.09,+0.61,henrikh-mkhitaryan89,UdSSR,Attacking Midfield,both,177.0,6000000,0.0,Summer,12.817999999999998
23,Mattia Zanotti,Inter,19,03,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Serie A,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0,Defender,75.0,72,31,66.7,100.0,,0,0.1,0.0,1,1,0,0,1,3.00,1,0,+1,3.33,+2.59,0.5,0.1,+0.5,+1.52,+0.70,mattia-zanotti03,Italy,Right-Back,right,177.0,350000,0.0,Summer,0.9359999999999999
24,Michel Aebischer,Bologna,25,97,17.1,1,15,2,13.3,0.88,0.12,0.07,0.50,17.1,1,0,0,1.5,1.5,0.10,-0.5,-0.5,Serie A,12,6,3,6,3,2,18,11.1,16,14,2,12,7,19,9,0,Forward,82.6,8050,2143,91.0,84.8,52.9,0,0.6,0.5,15,37,7,1,46,1.50,23,26,-3,-0.18,-0.51,16.9,21.6,-4.8,-0.28,-0.28,michel-aebischer97,Switzerland,Central Midfield,right,183.0,3500000,4000000.0,Summer,1.0260000000000038
25,Lewis Ferguson,Bologna,22,99,25.7,7,43,18,41.9,1.67,0.70,0.16,0.39,15.5,0,0,0,4.7,4.7,0.11,+2.3,+2.3,Serie A,44,25,16,20,8,20,40,50.0,20,22,7,15,19,63,25,0,Midfielder,85.3,14524,2797,91.6,88.3,54.4,0,1.0,1.2,16,70,12,0,88,1.50,40,30,+10,0.39,+0.88,30.5,32.8,-2.3,-0.09,+0.12,lewis-ferguson99,Scotland,Central Midfield,right,181.0,9000000,3500000.0,Summer,20.817000000000004
26,Jhon Lucumí,Bologna,24,98,32.2,0,11,2,18.2,0.34,0.06,0.00,0.00,14.5,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Serie A,53,37,39,13,1,24,43,55.8,19,43,26,17,35,88,100,1,Defender,88.7,32107,11819,94.4,93.3,68.8,1,0.4,0.6,9,98,6,1,84,1.58,51,39,+12,0.37,+1.76,39.0,40.2,-1.2,-0.04,+0.59,jhon-lucumi98,Colombia,Centre-Back,left,187.0,9000000,8000000.0,Summer,17.71
27,Charalambos Lykogiannis,Bologna,28,93,12.3,2,19,6,31.6,1.54,0.49,0.11,0.33,25.1,5,0,0,0.8,0.8,0.04,+1.2,+1.2,Serie A,16,8,5,6,5,5,13,38.5,8,9,4,5,15,31,30,0,Defender,70.9,8881,3581,87.9,76.3,38.5,0,1.5,1.5,18,51,17,12,60,1.10,16,19,-3,-0.24,-0.52,13.6,15.4,-1.7,-0.14,-0.02,charalambos-lykogiannis93,Greece,Left-Back,left,190.0,1500000,0.0,Summer,-0.738000000000001
28,Nikola Moro,Bologna,24,98,13.6,1,21,3,14.3,1.54,0.22,0.05,0.33,23.9,0,0,0,0.8,0.8,0.04,+0.2,+0.2,Serie A,32,21,11,15,6,14,36,38.9,22,15,2,13,8,40,18,0,Midfielder,79.8,11678,3780,83.3,85.8,72.2,5,2.2,1.3,18,85,13,3,102,1.62,23,16,+7,0.51,+0.64,17.1,19.5,-2.5,-0.18,-0.08,nikola-moro98,Croatia,Defensive Midfield,right,185.0,7000000,1500000.0,Summer,12.648000000000001
29,Stefan Posch,Bologna,25,97,28.1,6,28,10,35.7,1.00,0.36,0.21,0.60,14.2,1,0,0,3.3,3.3,0.12,+2.7,+2.7,Serie A,81,43,41,29,11,44,75,58.7,31,44,15,29,35,116,69,0,Defender,77.5,24735,10680,91.0,83.3,48.5,2,2.0,1.9,23,112,27,6,148,1.63,42,34,+8,0.28,+0.69,33.8,34.4,-0.7,-0.02,+0.40,stefan-posch97,Austria,Centre-Back,right,190.0,10000000,0.0,Summer,12.926
30,Niklas Pyyhtiä,Bologna,18,03,1.2,0,3,0,0.0,2.45,0.00,0.00,,17.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Serie A,1,0,0,1,0,0,1,0.0,1,1,1,0,1,2,4,0,Midfielder,77.4,609,66,83.9,86.7,40.0,1,0.1,0.0,2,3,0,0,1,1.17,3,1,+2,1.64,+1.58,2.1,0.9,+1.3,+1.04,+1.20,niklas-pyyhtia03,Finland,Central Midfield,left,186.0,500000,0.0,Winter,2.472
31,Antonio Raimondo,Bologna,18,04,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Serie A,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Forward,75.0,21,3,66.7,,,0,0.0,0.0,0,1,0,0,0,3.00,1,0,+1,6.0,+5.92,0.2,0.0,+0.2,+1.22,+1.35,antonio-raimondo04,Italy,Centre-Forward,left,185.0,700000,0.0,Summer,1.2480000000000002
32,Joaquin Sosa,Bologna,20,02,7.6,0,3,1,33.3,0.39,0.13,0.00,0.00,34.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Serie A,6,2,5,1,0,4,18,22.2,14,5,3,2,6,12,31,0,Defender,81.3,6349,2250,85.6,89.4,58.9,0,0.0,0.1,0,22,0,0,13,1.60,5,10,-5,-0.65,-0.95,6.8,11.7,-4.9,-0.64,-0.64,joaquin-sosa02,Uruguay,Centre-Back,left,185.0,3000000,1700000.0,Summer,-3.5720000000000005
33,Joshua Zirkzee,Bologna,21,01,9.1,2,29,8,27.6,3.18,0.88,0.07,0.25,16.3,0,0,0,3.1,3.1,0.11,-1.1,-1.1,Serie A,4,2,1,1,2,2,7,28.6,5,4,1,3,4,8,4,0,Forward,77.0,2526,434,85.9,77.0,66.7,2,1.4,0.5,16,12,6,0,17,1.21,17,11,+6,0.66,+0.73,14.8,12.7,+2.0,+0.22,+0.46,joshua-zirkzee01,Netherlands,Centre-Forward,right,193.0,9000000,8500000.0,Summer,8.190000000000001
34,Felix Afena-Gyan,Cremonese,19,03,9.1,0,21,2,9.5,2.31,0.22,0.00,0.00,18.7,0,0,0,1.9,1.9,0.09,-1.9,-1.9,Serie A,7,3,4,1,2,2,10,20.0,8,5,1,4,1,8,6,0,Forward,75.6,1855,194,86.1,73.9,57.1,0,0.1,0.2,3,3,0,0,8,0.78,9,13,-4,-0.44,+0.56,8.1,12.9,-4.8,-0.52,+0.26,felix-afena-gyan03,Ghana,Centre-Forward,right,175.0,5500000,6000000.0,Summer,-9.009
35,Emanuel Aiwum,Cremonese,21,00,18.4,0,3,1,33.3,0.16,0.05,0.00,0.00,17.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Serie A,55,34,36,17,2,33,47,70.2,14,28,16,12,25,80,52,3,Defender,79.1,10819,3713,89.5,84.2,41.2,0,0.4,0.8,4,48,7,1,46,0.61,13,30,-17,-0.93,-0.11,17.4,33.9,-16.5,-0.90,-0.35,emanuel-aiwum00,Austria,Centre-Back,right,185.0,3500000,3500000.0,Summer,-32.199999999999996
36,Marco Benassi,Cremonese,27,94,11.1,0,19,8,42.1,1.71,0.72,0.00,0.00,19.9,0,0,0,1.3,1.3,0.07,-1.3,-1.3,Serie A,26,15,9,11,6,15,24,62.5,9,13,1,12,12,38,19,0,Midfielder,72.1,4318,1060,84.6,79.0,45.5,0,0.4,0.5,7,17,4,2,27,0.87,9,21,-12,-1.08,-0.30,10.1,17.0,-6.8,-0.62,+0.15,marco-benassi94,Italy,Central Midfield,right,184.0,1500000,0.0,Winter,-27.195
37,Vlad Chiricheș,Cremonese,32,89,10.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Serie A,35,20,27,7,1,16,24,66.7,8,36,23,13,22,57,44,0,Defender,83.9,6776,3146,93.0,87.7,60.3,0,0.0,0.0,1,17,0,0,18,0.81,5,20,-15,-1.37,-0.71,7.2,18.0,-10.9,-1.00,-0.39,vlad-chiriches89,Romania,Centre-Back,right,184.0,1300000,0.0,Summer,-23.871000000000006
38,Cyriel Dessers,Cremonese,27,94,17.6,6,49,12,24.5,2.78,0.68,0.12,0.50,13.6,0,0,1,7.1,6.4,0.13,-1.1,-0.4,Serie A,11,4,4,4,3,2,6,33.3,4,14,2,12,3,14,5,0,Forward,64.3,2509,437,69.9,71.6,50.0,1,1.6,1.5,23,11,8,1,27,0.50,15,36,-21,-1.19,-0.60,18.4,33.3,-14.9,-0.84,-0.23,cyriel-dessers94,Belgium,Centre-Forward,right,185.0,6000000,6500000.0,Summer,-30.624
39,Alex Ferrari,Cremonese,28,94,11.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Serie A,40,23,32,7,1,28,42,66.7,14,19,4,15,25,65,45,1,Defender,74.0,6421,2306,80.1,83.3,48.7,0,0.1,0.2,3,27,5,1,27,0.88,10,21,-11,-0.98,-0.16,9.9,18.5,-8.5,-0.76,-0.06,alex-ferrari94,Italy,Centre-Back,right,191.0,1500000,0.0,Winter,-20.16
40,Paolo Ghiglione,Cremonese,25,97,7.9,1,7,2,28.6,0.89,0.25,0.14,0.50,17.0,0,0,0,0.8,0.8,0.12,+0.2,+0.2,Serie A,16,11,10,3,3,10,23,43.5,13,9,4,5,4,20,12,0,Defender,55.8,3153,1607,70.9,59.8,39.7,1,0.6,0.6,13,17,18,15,19,0.87,9,14,-5,-0.63,+0.30,7.7,14.7,-7.1,-0.89,-0.22,paolo-ghiglione97,Italy,Right-Back,right,191.0,1600000,0.0,Summer,-11.455000000000002
41,Luka Lochoshvili,Cremonese,24,98,20.4,1,8,2,25.0,0.39,0.10,0.13,0.50,16.3,0,0,0,0.6,0.6,0.08,+0.4,+0.4,Serie A,45,19,30,11,4,22,31,71.0,9,31,10,21,22,67,89,0,Defender,79.3,11677,4375,91.1,88.9,36.8,2,1.1,0.2,5,43,3,1,70,0.72,21,33,-12,-0.59,+0.61,21.1,32.2,-11.1,-0.54,+0.39,luka-lochoshvili98,Georgia,Centre-Back,left,192.0,1500000,1600000.0,Summer,-28.764
42,Soualiho Meïté,Cremonese,28,94,26.3,0,17,3,17.6,0.65,0.11,0.00,0.00,24.4,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Serie A,47,31,25,15,7,22,46,47.8,24,27,6,21,27,74,36,0,Midfielder,84.1,14666,3741,88.9,89.5,64.0,2,0.7,0.5,14,77,18,3,82,0.84,24,47,-23,-0.87,-0.02,26.0,45.8,-19.8,-0.75,-0.11,soualiho-meite94,France,Central Midfield,right,187.0,4000000,0.0,Summer,-58.912000000000006
43,David Okereke,Cremonese,24,97,25.2,7,60,20,33.3,2.38,0.79,0.10,0.30,17.2,0,1,1,5.9,5.2,0.09,+1.1,+0.8,Serie A,12,8,4,5,3,3,16,18.8,13,23,3,20,10,22,12,0,Forward,70.0,5730,1348,76.7,79.6,68.0,0,1.1,1.1,21,31,24,5,70,0.73,23,41,-18,-0.71,+0.45,27.3,43.8,-16.5,-0.66,+0.19,david-okereke97,Nigeria,Centre-Forward,right,181.0,4300000,0.0,Summer,-31.751999999999995
44,Charles Pickel,Cremonese,25,97,27.6,1,23,7,30.4,0.83,0.25,0.04,0.14,15.9,0,0,0,1.6,1.6,0.07,-0.6,-0.6,Serie A,55,23,25,26,4,32,57,56.1,25,37,5,32,24,79,36,1,Midfielder,77.3,12014,3464,82.6,83.5,54.1,0,1.2,1.1,20,80,15,1,104,0.73,26,46,-20,-0.72,+0.52,28.6,44.3,-15.7,-0.57,+0.54,charles-pickel97,Switzerland,Defensive Midfield,right,187.0,3800000,3800000.0,Summer,-57.684
45,Giacomo Quagliata,Cremonese,22,00,7.8,0,9,1,11.1,1.16,0.13,0.00,0.00,19.9,1,0,0,0.5,0.5,0.05,-0.5,-0.5,Serie A,10,8,7,1,2,5,11,45.5,6,7,2,5,11,21,8,0,Defender,65.4,3802,1660,87.8,68.2,32.3,1,1.0,1.0,13,21,10,8,28,0.65,6,17,-11,-1.42,-0.69,7.5,17.6,-10.1,-1.30,-0.73,giacomo-quagliata00,Italy,Left-Back,left,180.0,2000000,2000000.0,Summer,-17.472
46,Frank Tsadjout,Cremonese,23,99,11.7,3,26,10,38.5,2.23,0.86,0.12,0.30,17.3,0,0,0,2.0,2.0,0.08,+1.0,+1.0,Serie A,10,8,3,6,1,3,9,33.3,6,7,1,6,8,18,9,0,Forward,67.9,2340,400,72.9,71.1,37.5,1,0.5,0.3,10,14,5,0,18,0.85,10,27,-17,-1.46,-0.85,9.1,21.6,-12.5,-1.07,-0.51,frank-tsadjout99,Italy,Centre-Forward,left,190.0,1200000,850000.0,Summer,-23.516999999999996
47,Johan Vásquez,Cremonese,23,98,20.1,1,12,1,8.3,0.60,0.05,0.08,1.00,12.3,0,0,0,0.7,0.7,0.06,+0.3,+0.3,Serie A,41,26,34,7,0,18,39,46.2,21,27,20,7,45,86,93,1,Defender,78.0,11163,4435,86.2,86.9,40.4,0,0.3,0.3,6,39,4,1,48,0.76,19,36,-17,-0.84,+0.05,19.9,35.0,-15.1,-0.75,-0.06,johan-vasquez98,Mexico,Centre-Back,left,184.0,3600000,500000.0,Summer,-33.36600000000001
48,Kevin Agudelo,Spezia,23,98,23.7,0,28,7,25.0,1.18,0.30,0.00,0.00,21.4,0,0,0,1.5,1.5,0.05,-1.5,-1.5,Serie A,71,38,22,30,19,25,59,42.4,34,39,5,34,10,81,6,0,Midfielder,72.2,7885,2631,84.5,76.5,55.6,1,3.0,2.6,28,58,31,2,110,0.74,20,39,-19,-0.8,+0.04,24.4,38.7,-14.3,-0.60,-0.35,kevin-agudelo98,Colombia,Attacking Midfield,left,178.0,3500000,2700000.0,Summer,-18.96
49,Ethan Ampadu,Spezia,21,00,29.3,0,16,5,31.3,0.55,0.17,0.00,0.00,18.1,0,0,0,1.1,1.1,0.07,-1.1,-1.1,Serie A,66,37,33,28,5,17,41,41.5,24,48,23,25,36,102,98,0,Defender,81.0,23855,9527,88.1,89.3,53.0,1,1.1,0.9,13,106,14,4,125,0.75,22,42,-20,-0.68,+0.59,32.6,43.9,-11.3,-0.38,+0.39,ethan-ampadu00,England,Centre-Back,right,183.0,9000000,0.0,Summer,-12.892000000000001
50,Mehdi Bourabia,Spezia,30,91,30.8,1,33,5,15.2,1.07,0.16,0.03,0.20,24.3,1,0,0,2.1,2.1,0.06,-1.1,-1.1,Serie A,41,20,13,22,6,19,41,46.3,22,39,12,27,32,73,57,0,Midfielder,76.5,15009,4832,85.5,81.8,48.1,3,4.4,3.4,37,94,32,10,113,0.82,28,50,-22,-0.71,+0.53,33.6,49.2,-15.5,-0.50,-0.17,mehdi-bourabia91,France,Defensive Midfield,right,183.0,1300000,1500000.0,Summer,-21.868
